ztop,Age,Deuterium,dT
1356.85,98045.95,-413.3,-3.82
1357.4,98095.2,-417.2,-4.46
1357.95,98145.99,-415.4,-4.16
1358.5,98196.92,-423.1,-5.44
1359.05,98250.82,-412.5,-3.68
1359.6,98301.64,-422.6,-5.35
1360.15,98355.28,-418.2,-4.63
1360.7,98408.24,-418,-4.59
1361.25,98459.35,-412.8,-3.73
1361.8,98509.38,-418.3,-4.64
1362.35,98559.54,-412.5,-3.68
1362.9,98609.75,-419.4,-4.82
1363.45,98662.33,-422.5,-5.33
1364,98717.48,-421.4,-5.15
1364.55,98772.07,-417.7,-4.54
1365.1,98825.32,-422.3,-5.3
1365.65,98879.88,-417.3,-4.47
1366.2,98932.62,-424.5,-5.66
1366.75,98989.8,-416.4,-4.32
1367.3,99040.95,-418.7,-4.7
1367.85,99093.7,-418.5,-4.67
1368.4,99147.21,-425.8,-5.87
1368.95,99205.23,-424.1,-5.59
1369.5,99262.59,-421.5,-5.16
1370.05,99317.88,-418.8,-4.71
1370.6,99372,-422.2,-5.28
1371.15,99427.17,-420.9,-5.06
1371.7,99481.99,-418.7,-4.7
1372.25,99535.03,-415.7,-4.2
1372.8,99585.96,-421.8,-5.21
1373.35,99641.21,-415.7,-4.2
1373.9,99692.05,-415.5,-4.17
1374.45,99742.69,-418,-4.58
1375,99795.04,-417.7,-4.53
1375.55,99848.13,-424.2,-5.61
1376.1,99903.93,-416.3,-4.3
1376.65,99957.25,-420.7,-5.03
1377.2,100010.47,-416.4,-4.32
1377.75,100062.33,-414.9,-4.07
1378.3,100113.72,-419.8,-4.88
1378.85,100166.27,-416.5,-4.33
1379.4,100217.86,-413.8,-3.89
1379.95,100268.68,-419,-4.75
1380.5,100320.96,-417.4,-4.48
1381.05,100373.78,-419.1,-4.76
1381.6,100426.31,-413.2,-3.79
1382.15,100476.82,-418.5,-4.67
1382.7,100528.82,-414.6,-4.02
1383.25,100579.99,-420.5,-5
1383.8,100634.16,-417.9,-4.57
1384.35,100687.1,-417.2,-4.45
1384.9,100739.34,-416.3,-4.3
1385.45,100790.88,-416.2,-4.29
1386,100842.23,-414,-3.92
1386.55,100892.51,-421.3,-5.13
1387.1,100947.75,-420,-4.92
1387.65,101002.85,-421.5,-5.16
1388.2,101058.33,-419.9,-4.9
1388.75,101112.52,-415.9,-4.24
1389.3,101164.82,-416.7,-4.37
1389.85,101216.02,-413.2,-3.79
1390.4,101265.68,-411.7,-3.54
1390.95,101314.72,-414.7,-4.04
1391.5,101363.11,-407.1,-2.79
1392.05,101410.18,-411.1,-3.45
1392.6,101458.38,-417.5,-4.51
1393.15,101509.27,-413.7,-3.88
1393.7,101560.92,-419.5,-4.84
1394.25,101613.92,-417.3,-4.47
1394.8,101667.35,-418.6,-4.69
1395.35,101720.31,-415,-4.09
1395.9,101772.44,-418.3,-4.64
1396.45,101825.28,-416.5,-4.34
1397,101877.75,-416.5,-4.34
1397.55,101929.93,-416,-4.26
1398.1,101982.19,-420.6,-5.02
1398.65,102037.54,-418,-4.59
1399.2,102091.1,-416.9,-4.41
1399.75,102143.74,-415.9,-4.24
1400.3,102196.11,-419.9,-4.9
1400.85,102252.17,-427.6,-6.18
1401.4,102311.62,-418.9,-4.74
1401.95,102367.9,-419.5,-4.84
1402.5,102423.12,-421.3,-5.13
1403.05,102479.28,-419.7,-4.87
1403.6,102534.71,-419.1,-4.77
1404.15,102589.64,-423.2,-5.45
1404.7,102647.18,-416.4,-4.32
1405.25,102701.69,-423.6,-5.51
1405.8,102759.58,-424,-5.58
1406.35,102818.78,-423.8,-5.54
1406.9,102877.74,-422,-5.24
1407.45,102935.4,-419.3,-4.8
1408,102991,-426.3,-5.95
1408.55,103052.15,-425,-5.74
1409.1,103113.35,-427.9,-6.22
1409.65,103175.19,-422.3,-5.29
1410.2,103234.47,-432.5,-6.97
1410.75,103301.87,-431.1,-6.74
1411.3,103368.19,-428.2,-6.26
1411.85,103432.9,-434.8,-7.35
1412.4,103502.79,-432.6,-6.98
1412.95,103570.94,-429.4,-6.45
1413.5,103636.65,-434.5,-7.29
1414.05,103705.47,-425.7,-5.83
1414.6,103769.62,-432.1,-6.89
1415.15,103836.12,-424.9,-5.69
1415.7,103897.55,-428.3,-6.25
1416.25,103960.65,-425.1,-5.72
1416.8,104022.25,-424.8,-5.67
1417.35,104083.48,-431.5,-6.78
1417.9,104150.07,-427.8,-6.16
1418.45,104212.47,-418.2,-4.57
1419,104270.33,-424.7,-5.64
1419.55,104330.17,-426.5,-5.94
1420.1,104392.41,-423.7,-5.48
1420.65,104452.53,-423.7,-5.47
1421.2,104512.29,-422.6,-5.29
1421.75,104571.97,-425.4,-5.75
1422.3,104632.95,-422.4,-5.25
1422.85,104691.82,-418.4,-4.59
1423.4,104747.61,-420.3,-4.9
1423.95,104804.4,-420.2,-4.88
1424.5,104861.11,-418.7,-4.64
1425.05,104917.66,-421.8,-5.15
1425.6,104975.42,-420.8,-4.98
1426.15,105032.73,-415,-4.02
1426.7,105085.95,-420,-4.85
1427.25,105143.07,-423.9,-5.49
1427.8,105203.51,-424.6,-5.6
1428.35,105263.83,-420.2,-4.87
1428.9,105321.85,-419.7,-4.79
1429.45,105379.05,-422.1,-5.18
1430,105437.81,-420.3,-4.89
1430.55,105495.12,-418.8,-4.64
